link,text,date,no_of_likes,no_of_comments
https://twitter.com/KennedyMuling94/status/1815069942825279736#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 5:02 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815067760944160885#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:54 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815067582963024258#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:53 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815067294034239544#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:52 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815066741749207498#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:50 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815066543052750899#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:49 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815066173475573803#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:47 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815065849461428626#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:46 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815065726945837078#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:46 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815065568736657809#m,#OccupyParliament meant the power is back to the people. Keep watching,"Jul 21, 2024 · 4:45 PM UTC",0,0
https://twitter.com/KennedyMuling94/status/1815064990325600673#m,#OccupyParliament meant power was back to the people. Things won't be the same!!! Keep watching,"Jul 21, 2024 · 4:43 PM UTC",0,0
https://twitter.com/cessmk/status/1815014642059530553#m,#occupyparliament,"Jul 21, 2024 · 1:23 PM UTC",0,0
https://twitter.com/jackozluiz/status/1814986122017001957#m,"Alive and kicking., #OccupyParliament is still on.","Jul 21, 2024 · 11:29 AM UTC",0,0
https://twitter.com/jackozluiz/status/1814985717233115302#m,"#OccupyParliament is still on,,alive and kicking.","Jul 21, 2024 · 11:28 AM UTC",0,0
https://twitter.com/jackozluiz/status/1814985035893657742#m,"Let's not forget Kenyans  #OccupyParliament is still on.,alive and kicking.","Jul 21, 2024 · 11:25 AM UTC",0,0
https://twitter.com/Iamkibe1/status/1814980200330940687#m,Tuesday will be bigger than #Occupyparliament,"Jul 21, 2024 · 11:06 AM UTC",2,0
https://twitter.com/_lealjp/status/1815084279182794881#m,Hi @elonmusk. Kindly confirm your schedule on Tuesday I might check in and kindly confirm there's enough space to park a Boeing  #OccupyJKIA,"Jul 21, 2024 · 5:59 PM UTC",0,0
